Partition_Name,Type,Size_KB,,Region,Group,Reserved,Download,Download_File,OTA_Update,EmptyBoot_Needed,FastBoot_Erase,,FastBoot_Download,,Operation_Type
,,eng,user,,,,,,,,eng,user,eng,user,
preloader,Raw data,256,,EMMC_BOOT1_BOOT2,,N,Y,AUTO,Y,N,N,,N,,BOOTLOADERS
pgpt,Raw data,32,,EMMC_USER,,N,N,NONE,N,N,Y,N,Y,N,AUTO
boot_para,Raw data,1024,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
recovery,Raw data,24576,,EMMC_USER,,N,Y,recovery.img,Y,N,Y,,Y,,AUTO
para,Raw data,512,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
custom,EXT4,56320,,EMMC_USER,,N,Y,AUTO,N,N,N,,N,,AUTO
expdb,Raw data,20480,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
frp,Raw data,1024,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
vbmeta,Raw data,8192,,EMMC_USER,,N,Y,vbmeta.img,Y,N,Y,,Y,,AUTO
vbmeta_system,Raw data,8192,,EMMC_USER,,N,Y,vbmeta_system.img,Y,N,Y,,Y,,AUTO
vbmeta_vendor,Raw data,8192,,EMMC_USER,,N,Y,vbmeta_vendor.img,Y,N,Y,,Y,,AUTO
eng_system,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,Y,,Y,,AUTO
eng_vendor,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,Y,,Y,,AUTO
nvcfg,EXT4,8192,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
nvdata,EXT4,32768,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
md_udc,Raw data,23144,,EMMC_USER,,N,N,NONE,N,N,Y,,N,,AUTO
metadata,Raw data,32768,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
protect1,EXT4,8192,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
protect2,EXT4,8192,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
seccfg,Raw data,512,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
persist,EXT4,49152,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
sec1,Raw data,2048,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
proinfo,Raw data,3072,,EMMC_USER,,N,N,NONE,N,N,N,,N,,PROTECTED
efuse,Raw data,512,,EMMC_USER,,N,Y,efuse.img,N,N,N,,N,,AUTO
md1img,Raw data,65536,,EMMC_USER,,N,Y,md1img.img,Y,N,N,,N,,AUTO
md1dsp,Raw data,16384,,EMMC_USER,,N,Y,md1dsp.img,Y,N,N,,N,,AUTO
spmfw,Raw data,1024,,EMMC_USER,,N,Y,spmfw.img,Y,N,N,,N,,AUTO
mcupmfw,Raw data,1024,,EMMC_USER,,N,Y,mcupmfw.img,Y,N,N,,N,,AUTO
scp1,Raw data,1024,,EMMC_USER,,N,Y,scp.img,Y,N,Y,,Y,,AUTO
scp2,Raw data,1024,,EMMC_USER,,N,Y,scp.img,Y,N,Y,,Y,,AUTO
sspm_1,Raw data,1024,,EMMC_USER,,N,Y,sspm.img,Y,N,N,,N,,AUTO
sspm_2,Raw data,1024,,EMMC_USER,,N,Y,sspm.img,Y,N,N,,N,,AUTO
cam_vpu1,Raw data,4096,,EMMC_USER,,N,Y,vpu_part1.bin,Y,N,N,,N,,AUTO
cam_vpu2,Raw data,5120,,EMMC_USER,,N,Y,vpu_part2.bin,Y,N,N,,N,,AUTO
cam_vpu3,Raw data,5120,,EMMC_USER,,N,Y,vpu_part3.bin,Y,N,N,,N,,AUTO
gz1,Raw data,16384,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
gz2,Raw data,16384,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
nvram,Raw data,5120,,EMMC_USER,,N,N,NONE,N,N,N,,N,,BINREGION
lk,Raw data,1024,,EMMC_USER,,N,Y,lk.img,Y,Y,Y,N,Y,N,AUTO
lk2,Raw data,1024,,EMMC_USER,,N,Y,lk.img,Y,N,Y,N,Y,N,AUTO
loader_ext1,Raw data,64,,EMMC_USER,,N,Y,loader_ext.img,Y,N,N,,N,,BOOTLOADERS
loader_ext2,Raw data,64,,EMMC_USER,,N,Y,loader_ext.img,Y,N,N,,N,,BOOTLOADERS
boot,Raw data,24576,,EMMC_USER,,N,Y,boot.img,Y,N,Y,,Y,,AUTO
logo,Raw data,8192,,EMMC_USER,,N,Y,logo.bin,N,Y,Y,N,Y,N,AUTO
odmdtbo,Raw data,16384,,EMMC_USER,,N,Y,odmdtbo.img,Y,N,Y,,Y,,AUTO
dtbo,Raw data,8192,,EMMC_USER,,N,Y,dtbo.img,Y,N,Y,,Y,,AUTO
tee1,Raw data,5120,,EMMC_USER,,N,Y,tee.img,Y,Y,N,,N,,AUTO
tee2,Raw data,5120,,EMMC_USER,,N,Y,tee.img,Y,N,N,,N,,AUTO
super,Raw data,3184640,,EMMC_USER,,N,Y,super.img,Y,N,Y,,Y,,AUTO
odm,EXT4,32768,,EMMC_USER,main,N,Y,odm.img,Y,N,Y,,Y,,AUTO
product,EXT4,282144,,EMMC_USER,main,N,Y,product.img,Y,N,Y,,Y,,AUTO
vendor,EXT4,524288,,EMMC_USER,main,N,Y,vendor.img,Y,N,Y,,Y,,AUTO
system,EXT4,2621440,,EMMC_USER,main,N,Y,system.img,Y,N,Y,,Y,,AUTO
cache,EXT4,442368,,EMMC_USER,,N,Y,cache.img,N,N,Y,,Y,,AUTO
userdata,EXT4,3145728,,EMMC_USER,,N,Y,userdata.img,N,N,Y,,Y,,AUTO
intsd,FAT,0,,EMMC_USER,,N,N,NONE,N,N,N,,N,,AUTO
otp,Raw data,44032,,EMMC_USER,,Y,N,NONE,N,N,N,,N,,RESERVED
flashinfo,Raw data,16384,,EMMC_USER,,Y,N,NONE,N,N,N,,N,,RESERVED
sgpt,Raw data,16.5,,EMMC_USER,,Y,N,NONE,N,N,N,,N,,RESERVED
