Partition_Name,Type,Size_KB,,Region,Reserved,Download,Download_File,OTA_Update,EmptyBoot_Needed,FastBoot_Erase,,FastBoot_Download,,Operation_Type
,,eng,user,,,,,,,eng,user,eng,user,
preloader,Raw data,256,,EMMC_BOOT1_BOOT2,N,Y,AUTO,Y,N,N,,N,,BOOTLOADERS
pgpt,Raw data,32,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
para,Raw data,512,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
custom,EXT4,56320,,EMMC_USER,N,Y,AUTO,N,N,N,,N,,AUTO
expdb,Raw data,10240,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
frp,Raw data,1024,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
ppl,Raw data,256,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
misc2,Raw data,8192,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
nvcfg,EXT4,8192,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
persist,EXT4,49152,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
nvdata,EXT4,32768,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
md_udc,Raw data,23144,,EMMC_USER,N,N,NONE,N,N,Y,,N,,AUTO
metadata,Raw data,32768,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
protect1,EXT4,8192,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
protect2,EXT4,8192,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
eng_system,EXT4,32768,,EMMC_USER,N,N,NONE,N,N,Y,,Y,,AUTO
eng_vendor,EXT4,32768,,EMMC_USER,N,N,NONE,N,N,Y,,Y,,AUTO
seccfg,Raw data,256,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
oemkeystore,Raw data,8192,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
proinfo,Raw data,3072,,EMMC_USER,N,N,NONE,N,N,N,,N,,PROTECTED
efuse,Raw data,512,,EMMC_USER,N,Y,efuse.img,N,N,N,,N,,AUTO
nvram,Raw data,5120,,EMMC_USER,N,N,NONE,N,N,N,,N,,BINREGION
logo,Raw data,8192,,EMMC_USER,N,Y,logo.bin,N,Y,Y,N,Y,N,AUTO
secro,Raw data,6144,,EMMC_USER,N,Y,secro.img,N,N,N,,N,,AUTO
keystore,Raw data,8192,,EMMC_USER,N,N,NONE,N,N,Y,,Y,,AUTO
md1img_a,Raw data,24576,,EMMC_USER,N,Y,md1img.img,Y,N,N,,N,,AUTO
md1dsp_a,Raw data,4096,,EMMC_USER,N,Y,md1dsp.img,Y,N,N,,N,,AUTO
md1arm7_a,Raw data,3072,,EMMC_USER,N,Y,md1arm7.img,Y,N,N,,N,,AUTO
md3img_a,Raw data,5120,,EMMC_USER,N,Y,md3img.img,Y,N,N,,N,,AUTO
odmdtbo_a,Raw data,16384,,EMMC_USER,N,Y,odmdtbo.img,Y,N,Y,,Y,,AUTO
dtbo_a,Raw data,8192,,EMMC_USER,N,Y,dtbo.img,Y,N,Y,,Y,,AUTO
lk_a,Raw data,1024,,EMMC_USER,N,Y,lk.img,Y,Y,Y,N,Y,N,AUTO
boot_a,Raw data,24576,,EMMC_USER,N,Y,boot.img,Y,N,Y,,Y,,AUTO
tee_a,Raw data,5120,,EMMC_USER,N,Y,tee.img,Y,Y,N,,N,,AUTO
odm_a,EXT4,32768,,EMMC_USER,N,Y,odm.img,N,N,Y,,Y,,AUTO
vendor_a,EXT4,524288,,EMMC_USER,N,Y,vendor.img,Y,N,Y,,Y,,AUTO
system_a,EXT4,2621440,,EMMC_USER,N,Y,system.img,Y,N,Y,,Y,,AUTO
md1img_b,Raw data,24576,,EMMC_USER,N,N,NONE,Y,N,N,,N,,AUTO
md1dsp_b,Raw data,4096,,EMMC_USER,N,N,NONE,Y,N,N,,N,,AUTO
md1arm7_b,Raw data,3072,,EMMC_USER,N,N,NONE,Y,N,N,,N,,AUTO
md3img_b,Raw data,5120,,EMMC_USER,N,N,NONE,Y,N,N,,N,,AUTO
odmdtbo_b,Raw data,16384,,EMMC_USER,N,N,NONE,Y,N,Y,,Y,,AUTO
dtbo_b,Raw data,8192,,EMMC_USER,N,N,NONE,Y,N,Y,,Y,,AUTO
lk_b,Raw data,1024,,EMMC_USER,N,N,NONE,Y,N,Y,N,Y,N,AUTO
boot_b,Raw data,24576,,EMMC_USER,N,N,NONE,Y,N,Y,,Y,,AUTO
tee_b,Raw data,5120,,EMMC_USER,N,N,NONE,Y,N,N,,N,,AUTO
odm_b,EXT4,32768,,EMMC_USER,N,Y,odm.img,N,N,Y,,Y,,AUTO
vendor_b,EXT4,524288,,EMMC_USER,N,N,NONE,Y,N,Y,,Y,,AUTO
system_b,EXT4,2621440,,EMMC_USER,N,Y,system_other.img,Y,N,Y,,Y,,AUTO
userdata,EXT4,3145728,,EMMC_USER,N,Y,userdata.img,N,N,Y,,Y,,AUTO
intsd,FAT,0,,EMMC_USER,N,N,NONE,N,N,N,,N,,AUTO
otp,Raw data,44032,,EMMC_USER,Y,N,NONE,N,N,N,,N,,RESERVED
flashinfo,Raw data,16384,,EMMC_USER,Y,N,NONE,N,N,N,,N,,RESERVED
sgpt,Raw data,16.5,,EMMC_USER,Y,N,NONE,N,N,N,,N,,RESERVED
